Москва	23151	4802	16.451118	15.376733
Неизвестно	19123	2246	13.588818	7.192033
Санкт-Петербург	8842	2171	6.283132	6.951872
Московская область	8474	2089	6.021631	6.689295
Краснодарский край	3964	907	2.816821	2.904352
Ростовская область	3885	834	2.760684	2.670595
Свердловская область	3578	813	2.542529	2.603349
Новосибирская область	3175	618	2.256157	1.978930
Самарская область	2599	682	1.846851	2.183868
Калужская область	2236	192	1.588903	0.614813
Нижегородская область	2139	553	1.519975	1.770790
Красноярский край	1976	400	1.404147	1.280861
Архангельская область	1878	228	1.334508	0.730091
Челябинская область	1762	577	1.252079	1.847642
Украина	1745	448	1.239998	1.434564
Воронежская область	1722	393	1.223654	1.258446
Волгоградская область	1687	486	1.198783	1.556246
Республика Татарстан	1671	532	1.187414	1.703545
Ставропольский край	1417	385	1.006921	1.232828
Алтайский край	1403	404	0.996973	1.293669
Вологодская область	1400	186	0.994841	0.595600
Саратовская область	1384	428	0.983471	1.370521
Иркутская область	1368	355	0.972102	1.136764
Мурманская область	1273	265	0.904595	0.848570
Тюменская область	1261	270	0.896068	0.864581
Республика Башкортостан	1254	445	0.891093	1.424958
Удмуртская Республика	1234	212	0.876881	0.678856
Ханты-Мансийский автономный округ	1229	252	0.873328	0.806942
Смоленская область	1196	170	0.849878	0.544366
Пермский край	1193	337	0.847747	1.079125
Соединенные Штаты Америки	1179	93	0.837798	0.297800
Рязанская область	1176	217	0.835666	0.694867
Калининградская область	1170	255	0.831403	0.816549
Приморский край	1162	317	0.825718	1.015082
Белгородская область	1143	274	0.812217	0.877390
Тверская область	1088	227	0.773134	0.726888
Ленинградская область	1036	373	0.736182	1.194403
Хабаровский край	1018	241	0.723392	0.771719
Омская область	912	289	0.648068	0.925422
Республика Дагестан	866	135	0.615380	0.432290
Чувашская Республика	861	144	0.611827	0.461110
Латвия	856	82	0.608274	0.262576
Ярославская область	840	236	0.596905	0.755708
Липецкая область	825	169	0.586246	0.541164
Ульяновская область	822	203	0.584114	0.650037
Оренбургская область	749	265	0.532240	0.848570
Тульская область	726	230	0.515896	0.736495
Кемеровская область	678	291	0.481787	0.931826
Томская область	668	158	0.474681	0.505940
Курская область	592	209	0.420676	0.669250
Астраханская область	575	121	0.408595	0.387460
Республика Коми	565	184	0.401489	0.589196
Казахстан	545	172	0.387277	0.550770
Владимирская область	538	209	0.382303	0.669250
Беларусь	531	99	0.377329	0.317013
Псковская область	487	109	0.346063	0.349035
Новгородская область	475	131	0.337535	0.419482
Ивановская область	463	153	0.329008	0.489929
Республика Карелия	462	164	0.328298	0.525153
Амурская область	409	88	0.290636	0.281789
Германия	406	122	0.288504	0.390663
Кировская область	406	163	0.288504	0.521951
Пензенская область	392	143	0.278555	0.457908
Ямало-Ненецкий автономный округ	376	89	0.267186	0.284992
Забайкальский край	355	112	0.252263	0.358641
Эстония	341	55	0.242315	0.176118
Курганская область	336	99	0.238762	0.317013
Республика Саха (Якутия)	333	100	0.236630	0.320215
Орловская область	333	117	0.236630	0.374652
Брянская область	321	140	0.228103	0.448301
Тамбовская область	297	101	0.211048	0.323417
Узбекистан	295	61	0.209627	0.195331
Костромская область	233	94	0.165570	0.301002
Еврейская автономная область	227	24	0.161306	0.076852
Сахалинская область	222	99	0.157753	0.317013
Республика Мордовия	222	70	0.157753	0.224151
Республика Хакасия	190	72	0.135014	0.230555
Республика Северная Осетия - Алания	184	94	0.130751	0.301002
Республика Марий Эл	180	84	0.127908	0.268981
Республика Адыгея	178	55	0.126487	0.176118
Магаданская область	172	55	0.122223	0.176118
Республика Бурятия	170	67	0.120802	0.214544
Камчатский край	164	73	0.116539	0.233757
Литва	155	34	0.110143	0.108873
Молдова	135	58	0.095931	0.185725
Кабардино-Балкарская Республика	135	49	0.095931	0.156905
Чукотский автономный округ	110	16	0.078166	0.051234
Республика Калмыкия	107	31	0.076034	0.099267
Израиль	106	36	0.075324	0.115277
Карачаево-Черкесская Республика	85	17	0.060401	0.054437
Нидерланды	81	10	0.057559	0.032022
Кыргызстан	66	32	0.046900	0.102469
Канада	64	27	0.045478	0.086458
Великобритания	55	13	0.039083	0.041628
Чеченская Республика	39	20	0.027713	0.064043
Франция	36	14	0.025582	0.044830
Болгария	36	8	0.025582	0.025617
Азербайджан	34	18	0.024160	0.057639
Таджикистан	31	7	0.022029	0.022415
Республика Алтай	30	18	0.021318	0.057639
Республика Ингушетия	30	11	0.021318	0.035224
Швеция	24	10	0.017054	0.032022
Бельгия	24	6	0.017054	0.019213
Республика Тыва	23	12	0.016344	0.038426
Испания	23	9	0.016344	0.028819
Грузия	22	5	0.015633	0.016011
Италия	22	10	0.015633	0.032022
Швейцария	22	11	0.015633	0.035224
Австралия	21	6	0.014923	0.019213
Чехия	19	7	0.013501	0.022415
Ненецкий автономный округ	19	12	0.013501	0.038426
Польша	17	4	0.012080	0.012809
Армения	12	10	0.008527	0.032022
Китай	11	8	0.007817	0.025617
Египет	9	4	0.006395	0.012809
Ирландия	9	4	0.006395	0.012809
Туркменистан	8	4	0.005685	0.012809
Абхазия	8	4	0.005685	0.012809
Турция	7	3	0.004974	0.009606
Дания	7	3	0.004974	0.009606
Австрия	7	4	0.004974	0.012809
Мальта	7	1	0.004974	0.003202
Финляндия	6	5	0.004264	0.016011
Южно-Африканская Республика	6	3	0.004264	0.009606
Зимбабве	6	2	0.004264	0.006404
Япония	5	3	0.003553	0.009606
Иордания	5	1	0.003553	0.003202
Норвегия	4	4	0.002842	0.012809
Монголия	4	3	0.002842	0.009606
Словакия	4	2	0.002842	0.006404
Кипр	4	3	0.002842	0.009606
Греция	4	1	0.002842	0.003202
Мексика	3	1	0.002132	0.003202
Алжир	3	2	0.002132	0.006404
ВЕРШИНИНА АННА	3	1	0.002132	0.003202
Кирибати	3	1	0.002132	0.003202
Новосельский	3	1	0.002132	0.003202
Бразилия	3	3	0.002132	0.009606
Ливан	2	2	0.001421	0.006404
Соломоновы острова	2	1	0.001421	0.003202
Венгрия	2	2	0.001421	0.006404
Португалия	2	2	0.001421	0.006404
Западная Сахара	2	1	0.001421	0.003202
Фиджи	2	2	0.001421	0.006404
Объединенные Арабские Эмираты	2	2	0.001421	0.006404
Индонезия	2	1	0.001421	0.003202
Лихтенштейн	2	1	0.001421	0.003202
Коморские острова	2	1	0.001421	0.003202
Ангола	1	1	0.000711	0.003202
Никарагуа	1	1	0.000711	0.003202
Самсонова Юлия Геннадьевна	1	1	0.000711	0.003202
Перу	1	1	0.000711	0.003202
Гибралтар	1	1	0.000711	0.003202
Гондурас	1	1	0.000711	0.003202
Камерун	1	1	0.000711	0.003202
Албания	1	1	0.000711	0.003202
Анастасия	1	1	0.000711	0.003202
Тайвань	1	1	0.000711	0.003202
Бурунди	1	1	0.000711	0.003202
Джибути	1	1	0.000711	0.003202
Колумбия	1	1	0.000711	0.003202
Аргентина	1	1	0.000711	0.003202
Виктор	1	1	0.000711	0.003202
